biosample_id,Cas12g,Cas13i,Cas12e,Cas13d,Cas3HD,Cas9,Cas3d,Cas10,Cas12d,Cas12c,Cas10d,Cas13f,Cas12k,Cas12b,Cas3,Cas12a,Cas12f,Cas13b,Cas12m,Cas3-Cas2
SAMEA6822957,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6824515,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6831317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6513712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6513711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6822955,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6862608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6862691,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6862689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6862700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6862727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6862988,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6862730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6862728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6863332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6863340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6863325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6854749,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6943338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6952714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957285,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957286,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957290,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957292,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
